date,ticker,score,weight,bm_weight,active_weight,grp_Accounting,grp_Price,grp_Sellside,grp_Conditioning,grp_Factor
2018-12-07,LITE,-2.1388,0.0,0.02,-0.02,0.2526,-0.0411,-0.6954,0.1056,-0.015
2018-12-07,000660,-0.6059,0.0001,0.02,-0.0199,-0.2656,-0.2122,-0.4225,0.1381,-0.015
2018-12-07,005930,-0.0381,0.0285,0.02,0.0085,-0.2234,-0.2995,-0.522,0.2016,-0.015
2018-12-07,UNH,-0.114,0.0318,0.02,0.0118,-0.0494,0.2966,0.161,0.171,-0.015
2018-12-07,LLY,4.2416,0.0748,0.02,0.0548,0.2633,0.4354,0.6502,0.0929,-0.015
2018-12-07,ISRG,0.0573,0.0069,0.02,-0.0131,-0.0296,0.3502,0.655,0.1506,-0.015
2018-12-07,ABBV,0.246,0.0161,0.02,-0.0039,0.0956,-0.0788,0.0192,0.1195,-0.015
2018-12-07,REGN,-0.3281,0.005,0.02,-0.015,-0.0743,0.0941,0.249,0.0929,-0.015
2018-12-07,JPM,-0.3146,0.0421,0.02,0.0221,-0.0923,-0.181,0.1924,0.1771,-0.015
2018-12-07,V,0.1491,0.0406,0.02,0.0206,0.1743,0.2219,-0.0716,0.1302,-0.015
2018-12-07,MA,0.4503,0.0244,0.02,0.0044,0.3615,0.2864,0.1112,0.1168,-0.015
2018-12-07,BLK,0.0849,0.0077,0.02,-0.0123,-0.0574,-0.5102,-0.5878,0.169,-0.015
2018-12-07,SPGI,0.5002,0.0052,0.02,-0.0148,0.1797,-0.2987,-0.469,0.1171,-0.015
2018-12-07,GS,-0.1623,0.0084,0.02,-0.0116,-0.0791,-0.6643,0.2442,0.169,-0.015
2018-12-07,COST,1.2824,0.0425,0.02,0.0225,-0.0992,0.1245,0.0713,0.2853,-0.015
2018-12-07,HD,0.2497,0.0242,0.02,0.0042,0.5059,-0.3196,0.2761,0.0568,-0.015
2018-12-07,PG,-0.3748,0.0282,0.02,0.0082,-0.1385,0.2949,-0.1421,0.1507,-0.015
2018-12-07,MCD,-0.673,0.0003,0.02,-0.0197,-0.1435,0.2283,0.6187,0.1321,-0.015
2018-12-07,WMT,0.3218,0.0343,0.02,0.0143,-0.0419,-0.0556,0.0584,0.057,-0.015
2018-12-07,CAT,0.4683,0.0089,0.02,-0.0111,0.0291,-0.1477,-0.1475,0.1352,-0.015
2018-12-07,HON,0.2549,0.0126,0.02,-0.0074,0.0029,-0.2575,-0.6885,0.1361,-0.015
2018-12-07,DE,-0.3012,0.0058,0.02,-0.0142,-0.0153,0.1654,-0.1848,0.0426,-0.015
2018-12-07,UNP,-0.3509,0.0133,0.02,-0.0067,-0.0846,0.09,0.2961,0.1381,-0.015
2018-12-07,LMT,-1.117,0.0002,0.02,-0.0198,0.1578,-0.3784,0.6194,0.1336,-0.015
2018-12-07,ETN,-0.1881,0.0038,0.02,-0.0162,-0.102,-0.2395,-0.2671,0.1168,-0.015
2018-12-07,XOM,-0.024,0.0396,0.02,0.0196,-0.2417,-0.1616,-0.0752,0.1088,-0.015
2018-12-07,LNG,-1.1846,0.0,0.02,-0.02,0.1035,0.1097,0.3252,0.0685,-0.015
2018-12-07,FCX,-1.4216,0.0,0.02,-0.02,-0.6319,-0.4099,-0.8764,0.14,-0.015
2018-12-07,LIN,-0.3217,0.0102,0.02,-0.0098,-0.2303,0.0412,-0.0,-0.0162,-0.015
2018-12-07,NEE,-0.5,0.0002,0.02,-0.0198,-0.3892,0.1605,-0.1569,0.1401,-0.015
2018-12-07,AMT,-0.0972,0.009,0.02,-0.011,-0.1817,0.3234,0.1695,0.0861,-0.015
2018-12-07,EQIX,-0.6094,0.0001,0.02,-0.0199,-0.2951,-0.3633,0.4667,0.096,-0.015
2018-12-07,TMUS,-1.1173,0.0001,0.02,-0.0199,-0.0731,0.1673,0.2291,0.1072,-0.015
2018-12-07,PLD,-0.0971,0.0053,0.02,-0.0147,-0.146,0.0191,0.4295,0.1574,-0.015
2018-12-07,AMD,0.0151,0.0024,0.02,-0.0176,0.2063,0.9683,-0.5386,0.1318,-0.015
2018-12-07,CRM,-0.8562,0.0003,0.02,-0.0197,0.0297,0.4611,0.2793,0.0149,-0.015
2018-12-07,NFLX,1.07,0.0141,0.02,-0.0059,0.1027,0.0082,-0.2133,0.167,-0.015
2018-12-21,AAPL,-0.2668,0.0957,0.02,0.0757,0.1361,-0.3179,-0.6451,0.1641,-0.0762
2018-12-21,MSFT,-0.5439,0.0418,0.02,0.0218,0.0088,0.3058,0.6663,0.1741,-0.0762
2018-12-21,GOOGL,0.3583,0.0931,0.02,0.0731,-0.0532,-0.0154,0.4978,0.1631,-0.0762
2018-12-21,AMZN,0.4699,0.0916,0.02,0.0716,0.3721,0.2438,0.2945,0.1707,-0.0762
2018-12-21,META,0.0138,0.001,0.02,-0.019,-0.2217,-0.3453,0.2867,0.1652,-0.0762
2018-12-21,NVDA,1.8703,0.0682,0.02,0.0482,0.3293,-0.386,-1.1502,0.1087,-0.0762
2018-12-21,TSLA,1.0112,0.0073,0.02,-0.0127,0.4375,1.0633,0.4843,0.1741,-0.0762
2018-12-21,PLTR,-0.247,0.0015,0.02,-0.0185,0.1725,-0.3308,0.4367,0.18,-0.0762
2018-12-21,AVGO,-0.2456,0.0134,0.02,-0.0066,0.0096,0.3617,0.0861,0.0278,-0.0762
