date,IC
2022-03-21,-0.2189
2022-04-04,0.0233
2022-04-18,0.1321
2022-05-02,-0.2214
2022-05-16,-0.0302
2022-05-30,0.2096
2022-06-13,0.0675
2022-06-27,0.22
2022-07-11,0.1144
2022-07-25,-0.1503
2022-08-08,-0.0379
2022-08-22,0.0767
2022-09-05,0.2107
2022-09-19,0.2971
2022-10-03,-0.0807
2022-10-17,0.0315
2022-10-31,-0.1965
2022-11-14,0.0429
2022-11-28,-0.1313
2022-12-12,-0.1057
2022-12-26,0.1861
2023-01-09,-0.067
2023-01-23,0.0309
2023-02-06,0.3718
2023-02-20,0.0974
2023-03-06,0.0333
2023-03-20,-0.0364
2023-04-03,-0.1265
2023-04-17,-0.2785
2023-05-01,0.0708
2023-05-15,0.2888
2023-05-29,-0.0798
2023-06-12,-0.1001
2023-06-26,-0.0387
2023-07-10,0.1902
2023-07-24,0.1947
2023-08-07,-0.0466
2023-08-21,0.0482
2023-09-04,-0.1614
2023-09-18,-0.004
2023-10-02,-0.0608
2023-10-16,0.1635
2023-10-30,0.1339
2023-11-13,0.2215
2023-11-27,0.302
2023-12-11,0.1717
2023-12-25,-0.0535
2024-01-08,-0.2044
2024-01-22,0.0314
2024-02-05,-0.0163
2024-02-19,-0.0631
2024-03-04,0.0587
2024-03-18,-0.0012
2024-04-01,0.0667
2024-04-15,0.1046
2024-04-29,-0.247
2024-05-13,0.0725
2024-05-27,0.2629
2024-06-10,0.0606
2024-06-24,0.0342
2024-07-08,0.003
2024-07-22,-0.127
2024-08-05,-0.0661
2024-08-19,-0.0036
2024-09-02,0.3428
2024-09-16,0.3448
2024-09-30,-0.1024
2024-10-14,-0.1143
2024-10-28,-0.2003
2024-11-11,-0.2789
2024-11-25,-0.2335
2024-12-09,-0.1534
2024-12-23,0.1625
2025-01-06,-0.1689
2025-01-20,0.0005
2025-02-03,0.1771
2025-02-17,0.4693
2025-03-03,0.1506
2025-03-17,-0.3989
2025-03-31,-0.302
2025-04-14,0.0011
2025-04-28,-0.1858
2025-05-12,0.0658
2025-05-26,0.3366
2025-06-09,-0.2553
2025-06-23,-0.01
2025-07-07,0.1954
2025-07-21,-0.0211
2025-08-04,-0.2117
2025-08-18,-0.0311
2025-09-01,-0.2686
2025-09-15,0.0451
2025-09-29,-0.0606
2025-10-13,-0.1297
2025-10-27,-0.0512
2025-11-10,0.07
2025-11-24,-0.0218
2025-12-08,-0.09
2025-12-22,0.0017
2026-01-05,-0.2468
2026-01-19,0.0303
2026-02-02,0.1789
