date,ticker,Accounting,Price,Sellside,Conditioning,Factor,MacroCross,Financials,total
2019-08-16,MA,-0.0067,0.0005,0.001,0.0001,0.0002,-0.0,0.0002,-0.0049
2019-08-16,BLK,0.0051,0.0026,-0.0026,0.0001,0.0002,-0.0008,0.0009,0.0054
2019-08-16,SPGI,0.0014,0.0004,0.0017,0.0001,0.0002,0.0001,0.0004,0.0043
2019-08-16,GS,-0.002,0.0011,-0.0003,0.0001,0.0003,0.0,0.0009,-0.0
2019-08-16,COST,-0.003,0.0007,0.0006,0.0001,0.0002,0.0,0.0002,-0.0012
2019-08-16,HD,-0.0036,0.001,0.0003,0.0001,0.0002,-0.0001,-0.0004,-0.0025
2019-08-16,PG,-0.0121,-0.0067,0.0001,-0.0001,-0.0005,-0.0001,-0.0004,-0.0198
2019-08-16,MCD,-0.0019,-0.0032,0.0015,-0.0001,-0.0003,0.0,0.0008,-0.0032
2019-08-16,WMT,0.0035,0.0005,-0.0019,0.0002,-0.0001,0.0005,-0.0008,0.0019
2019-08-16,CAT,-0.0095,0.0064,-0.002,0.0001,0.0002,-0.0001,-0.0078,-0.0126
2019-08-16,HON,-0.0034,0.0008,-0.0035,0.0001,0.0002,-0.0001,0.0002,-0.0057
2019-08-16,DE,-0.0029,0.0023,-0.0022,0.0001,0.0003,-0.0001,0.0002,-0.0022
2019-08-16,UNP,-0.0039,-0.0002,-0.0036,-0.0001,0.0002,-0.0001,0.0002,-0.0075
2019-08-16,LMT,-0.001,0.0037,0.0136,0.0001,0.0003,0.0004,-0.0001,0.017
2019-08-16,ETN,-0.0041,0.0013,0.0004,0.0001,0.0002,-0.0001,-0.0,-0.0022
2019-08-16,XOM,0.004,0.0024,0.0014,0.0001,0.0001,-0.0001,0.0012,0.0091
2019-08-16,LNG,0.0109,0.0041,0.0029,0.0001,0.0002,0.0001,0.0016,0.0199
2019-08-16,FCX,-0.0096,-0.0023,-0.0003,0.0001,0.0001,-0.0002,-0.0011,-0.0132
2019-08-16,LIN,-0.0095,0.0013,-0.0006,0.0001,0.0002,0.0001,-0.0007,-0.009
2019-08-16,NEE,0.0013,-0.0005,0.0016,0.0,0.0002,0.0,0.0004,0.0031
2019-08-16,AMT,-0.0061,-0.0057,-0.0016,-0.0001,-0.0007,0.0001,-0.0009,-0.015
2019-08-16,EQIX,0.0063,0.0009,0.0008,0.0001,0.0002,0.0001,-0.0002,0.0081
2019-08-16,TMUS,-0.0026,0.0007,0.0009,0.0001,0.0003,0.0001,-0.0001,-0.0007
2019-08-16,PLD,-0.0033,0.001,0.0018,0.0001,0.0003,0.0001,0.0009,0.0009
2019-08-16,AMD,0.0076,-0.0082,0.0003,-0.0001,-0.0001,-0.0005,0.0006,-0.0002
2019-08-16,CRM,0.0003,-0.0022,-0.001,0.0001,0.0003,0.0004,-0.0004,-0.0025
2019-08-16,NFLX,0.0475,0.0065,0.001,-0.0001,0.0001,-0.002,-0.0001,0.053
2019-08-16,TER,-0.0006,0.0002,0.0004,0.0013,0.0001,0.0011,0.0001,0.0026
2019-08-16,GLW,-0.0075,-0.0001,-0.0004,0.0001,0.0002,-0.0,0.0004,-0.0073
2019-08-16,JNJ,-0.0087,0.0011,0.0009,0.0001,0.0001,-0.0001,0.0002,-0.0064
2019-08-16,WFC,-0.0014,0.0042,-0.0002,0.0001,0.0003,-0.0,0.0012,0.0043
