feature,importance,group
fac_us_ger_spread,5.375,Factor
sector_Healthcare,5.125,Conditioning
fac_F_MinVol_vol_63d,5.0,Factor
sector_Technology,5.0,Conditioning
fac_F_Quality_mom_63d,4.875,Factor
fac_F_HiDiv_mom_63d,4.875,Factor
fac_em_fx_mom,4.875,Factor
fac_VIX_zscore,4.875,Factor
fac_dxy_zscore,4.25,Factor
fac_F_MinVol_vol_21d,4.25,Factor
cal_is_mid_qtr,3.875,Conditioning
cal_is_qtr_end,3.875,Conditioning
regime_sent_breadth,3.875,Conditioning
cal_is_Q2,3.75,Conditioning
news_ma5,3.75,Sellside
fac_real_rate,3.625,Factor
sector_Communication Services,3.5,Conditioning
fac_F_HiBeta_vol_63d,3.5,Factor
fac_yield_slope,3.375,Factor
news_range_pos,3.375,Sellside
cal_is_Q1,3.375,Conditioning
fac_GOLD_mom_63d,3.25,Factor
cal_is_Q3,3.0,Conditioning
is_large_cap,3.0,Conditioning
eps_rev_confirmed_chg,3.0,Sellside
fac_F_Growth_vol_63d,2.875,Factor
fac_cmd_mom_21d,2.875,Factor
fac_F_Value_mom_63d,2.875,Factor
fac_F_MinVol_mom_63d,2.75,Factor
fac_rate_vol,2.75,Factor
fac_F_MinVol_accel,2.75,Factor
fac_WTI_mom_63d,2.75,Factor
fac_usdkrw_chg,2.75,Factor
fac_F_HiBeta_vol_21d,2.75,Factor
fac_F_Value_vol_21d,2.625,Factor
news_trend,2.625,Sellside
fac_F_Quality_mom_21d,2.5,Factor
fac_F_SmCap_vol_63d,2.5,Factor
fac_F_HiDiv_mom_21d,2.5,Factor
reversal_5d,2.375,Price
fac_F_HiDiv_vol_21d,2.375,Factor
fac_NDX_mom_63d,2.375,Factor
fac_real_rate_chg,2.375,Factor
sector_Financials,2.375,Conditioning
fac_SPX_mom_63d,2.375,Factor
is_high_vol,2.25,Conditioning
cal_is_Q4,2.25,Conditioning
fac_us_eu_spread,2.125,Factor
fac_GS_Nuclear_mom,2.125,Factor
fac_F_HiDiv_accel,2.125,Factor
fac_hidiv_growth_21d,2.0,Factor
fac_WTI_mom_21d,2.0,Factor
cal_is_first_half,2.0,Conditioning
cal_is_earnings,2.0,Conditioning
fac_F_Growth_mom_21d,2.0,Factor
fac_F_HiDiv_vol_63d,1.875,Factor
fac_F_Quality_vol_63d,1.75,Factor
